name,age,height,weight,sex
Sarah Oconnor,64.0,1.51,86.1,F
Samantha Martinez,30.0,1.76,82.5,F
Jacqueline Townsend,39.0,1.8,77.8,M
Kevin Andrews,38.0,1.98,110.3,F
Calvin Johnson,39.0,1.79,73.2,F
Carolyn Garcia,45.0,1.74,68.2,M
Douglas Taylor,26.0,1.79,102.0,F
Cindy Christensen,43.0,1.96,75.2,F
Lisa Arroyo,26.0,1.91,109.3,M
Evelyn Petersen,32.0,1.66,73.0,M
Ashley Spencer,27.0,1.62,99.1,M
Felicia Hudson,41.0,1.63,53.2,F
John Ward,59.0,1.75,77.0,F
Regina Brown,25.0,1.87,74.0,M
Kelly Stone,41.0,1.75,107.2,F
Katherine Goodman,33.0,1.53,117.7,M
Anne Snyder,66.0,1.86,82.3,F
David Cox,43.0,1.9,107.7,M
Aaron Hill,44.0,1.64,99.0,M
John Mills,54.0,1.83,117.7,M
Richard Juarez,21.0,1.71,106.8,F
Brad Powers,67.0,1.94,55.4,M
Jennifer Ramirez,41.0,1.92,99.9,M
Erin Smith,36.0,1.76,87.5,F
Arthur Young,53.0,1.85,51.2,M
Blake Baker,56.0,1.94,67.6,F
Terry Mitchell,27.0,1.75,114.5,M
Susan Fitzgerald,42.0,1.66,114.8,M
Frank White,35.0,1.88,105.9,M
Amanda Ibarra,36.0,1.61,118.7,M
Nicole Mclaughlin,53.0,1.69,106.5,M
Nathaniel Mathews,27.0,1.93,50.7,M
Mark Phillips,50.0,1.86,70.1,M
Emily Hanson,67.0,1.7,52.1,F
Ronald Morgan,22.0,1.61,56.6,M
Deborah Scott,64.0,1.68,65.3,F
John Santiago,66.0,1.64,85.2,F
Victoria Snyder,52.0,1.59,109.3,F
Daniel Davila,61.0,1.87,110.3,F
Ryan Fuentes,51.0,1.63,93.1,F
Dr. Calvin Hart,50.0,1.73,115.0,F
Timothy Palmer,38.0,1.69,85.0,M
James Patterson,34.0,1.99,112.2,M
Austin Price,39.0,1.7,81.8,M
Julie Roth,65.0,1.54,69.4,M
Casey Boyle,54.0,1.54,114.1,M
Michael Mitchell,32.0,1.8,77.2,F
Catherine Oliver,52.0,1.8,85.2,F
David Oconnell,45.0,1.71,73.0,F
Mr. Justin Freeman III,24.0,1.72,96.4,M
Nicholas Walters,49.0,1.53,119.7,M
Brittany Brown,28.0,1.76,51.8,M
Leslie Elliott,27.0,1.75,113.0,M
Mariah Bradley,26.0,1.57,50.3,F
Curtis Carpenter,31.0,1.55,75.5,F
Noah Lewis,30.0,1.56,61.8,M
Andrea Bautista,42.0,1.55,103.0,F
Heather Davenport,19.0,1.8,53.5,M
Keith Castillo,52.0,1.6,88.7,M
Sarah Lynch,24.0,1.63,70.6,M
Lisa Patel,38.0,1.59,59.4,F
Patrick Smith,35.0,1.98,104.0,F
Anna Huynh,20.0,1.93,65.2,F
Jeremy Schroeder,59.0,1.62,65.7,M
Geoffrey Glass,56.0,1.66,69.3,M
Nancy Ryan,58.0,1.6,91.1,M
Cody Mejia,66.0,1.75,96.2,F
Jamie Harris,28.0,1.51,51.2,M
Daniel Khan,56.0,1.84,66.9,M
Theresa Lawson,41.0,1.76,80.2,F
Meghan Freeman,63.0,1.95,73.2,M
Brian Wiley,36.0,1.58,111.9,F
Eric Cruz,21.0,1.9,105.1,F
Chelsea Mason,43.0,1.9,93.8,M
Sierra Malone,55.0,1.56,73.7,M
Nathaniel Blackwell,59.0,1.7,99.0,M
Justin Austin,49.0,1.59,109.1,M
Clinton Aguilar,56.0,1.63,91.6,F
Melissa Ochoa,62.0,1.63,104.9,F
Amanda Davis,63.0,1.78,102.4,F
Erin Michael,53.0,1.71,90.0,F
Lori Cook,57.0,1.97,71.9,F
Kristen Hines,54.0,1.56,102.2,F
Cassandra Ross,50.0,1.99,64.5,F
Natalie Gomez,53.0,1.62,104.6,M
Lori Holmes,20.0,1.89,106.3,M
Joel Gonzales,26.0,1.67,107.6,M
Kenneth Nixon,25.0,1.57,83.1,M
Eric Barnes,50.0,1.93,63.5,M
Sara Peterson,23.0,1.65,57.0,M
Melissa Hall,58.0,1.83,102.0,F
Mark Copeland,56.0,1.78,112.0,M
Sharon Hawkins,21.0,1.74,95.6,M
Anthony Jones,30.0,1.75,60.1,F
Sara Ferguson,66.0,1.87,115.4,F
Gabriel James,19.0,1.54,119.2,M
Russell Ortiz,22.0,1.83,80.3,F
Cameron David,61.0,1.95,91.6,M
Zachary Cooke,44.0,1.53,104.4,F
Chelsea Vang,49.0,1.57,101.5,M
Anna Ortiz,38.0,1.86,117.7,M
Nancy Rios,25.0,1.72,58.0,M
Jeffrey Moran,55.0,1.7,90.7,F
Jordan Fritz,25.0,1.57,98.4,F
Megan Grant,67.0,1.75,112.3,M
Leslie Nash,20.0,1.56,111.2,F
Michael Thomas,61.0,1.74,118.5,F
Teresa Hamilton,20.0,1.88,85.8,M
Elizabeth Hill,39.0,1.63,108.2,M
Bruce Cooper,23.0,1.74,79.9,F
Kylie Allen,19.0,2.0,79.6,F
Courtney Hamilton,40.0,1.84,67.7,M
Joel Cline,61.0,1.92,107.3,F
Jeremy Vargas,19.0,1.71,119.0,F
Derek Vasquez,55.0,1.88,67.9,F
William Blake,34.0,1.52,53.9,M
Brenda Rodriguez,52.0,1.56,107.1,F
Daniel Carlson,51.0,1.6,93.4,F
Edwin Moss,40.0,1.7,117.2,M
Tyler Le,47.0,1.92,67.7,F
John Romero,69.0,1.67,55.0,M
Bill Stone,25.0,1.83,84.5,M
Christine Andrade,39.0,1.85,56.0,M
Robert Poole,61.0,1.79,68.3,M
Omar Silva,53.0,1.68,58.8,M
Ricardo Brown,22.0,1.79,65.7,M
Jennifer Stephens,30.0,1.67,57.4,F
Kristi Lyons,46.0,1.54,116.8,M
Donald Johnson,48.0,2.0,69.5,F
Christopher Erickson,64.0,1.56,81.1,M
Mary Stanley,33.0,1.54,112.9,M
Scott Guerrero,59.0,1.94,97.4,F
Katherine Thompson,47.0,1.65,93.3,M
Gary Stephens,33.0,1.83,99.4,M
Mario Johnston,29.0,1.66,108.0,M
Jennifer Martinez,34.0,1.7,111.4,M
Andrea Ho,33.0,1.63,95.0,F
Kenneth Morgan,29.0,1.67,112.3,M
Lacey Graves,25.0,1.71,87.5,M
Mathew Galvan,37.0,1.86,69.4,M
Nicole Lambert,20.0,1.76,111.6,F
Dwayne Chang,33.0,1.97,87.9,M
Kyle Esparza,47.0,1.52,113.4,M
James Cline,62.0,1.75,52.8,F
Matthew Horne,40.0,1.79,77.8,M
Michael Duncan,45.0,1.96,116.3,F
Donald Terrell,68.0,1.52,67.5,F
Laura Marshall,57.0,1.79,115.9,F
William Mcmahon,22.0,1.93,116.8,F
Kaylee Walsh,37.0,1.62,111.7,F
George Spencer,57.0,1.94,89.5,M
Michael George,61.0,1.51,95.3,M
Bryan Schneider,18.0,1.87,110.9,F
Patricia Christian,47.0,1.97,104.3,M
Amy Calderon,38.0,1.83,94.1,M
Debra Miller,37.0,1.72,118.8,F
David Taylor,23.0,1.52,98.0,F
Alec George,39.0,1.96,118.3,M
Dawn Herrera MD,35.0,1.74,54.0,M
Cathy Williams,25.0,1.51,59.7,F
Sharon Meyer,56.0,1.84,81.6,M
Veronica Romero,49.0,1.74,76.9,F
Tyler Campbell,50.0,1.56,104.8,F
Joel Tate,33.0,1.61,61.2,F
George Lindsey,29.0,1.53,118.3,M
Ashley King,55.0,1.79,72.1,F
Tamara Myers,69.0,1.81,80.0,F
David Patel,51.0,1.75,69.2,F
Christian Smith,31.0,1.91,90.6,F
Rebecca Atkinson,53.0,1.93,54.1,F
Leslie Mckay,50.0,1.81,60.5,M
Thomas Wu,40.0,1.51,102.2,M
Lori Hall,67.0,1.85,63.1,M
Jacob Larson,62.0,1.71,66.5,F
Richard Kelly,19.0,1.78,105.5,M
Amanda Delgado,58.0,1.82,56.5,F
Johnny Bell DDS,38.0,1.68,80.6,M
Michele Carey,19.0,1.96,51.6,M
Ronald Andersen,44.0,1.57,74.3,F
Joseph Morris,26.0,1.84,98.9,M
Jennifer Brown,18.0,1.5,56.3,M
Spencer Pena,28.0,1.96,112.2,M
Karen Li,20.0,1.56,113.7,F
Erin Armstrong,69.0,1.55,57.3,M
Sarah Ritter,40.0,1.67,119.4,F
Stephen Cruz,43.0,1.69,70.8,F
Maria Shannon,21.0,1.61,55.9,F
Tony Long,35.0,1.79,50.4,M
Kathleen Oneill,23.0,1.72,78.6,M
Evelyn Jones,52.0,1.52,94.1,F
Carla Hansen,39.0,1.66,73.3,F
Lisa Walker,60.0,1.91,108.6,M
Erin Gross,32.0,1.84,100.2,M
Isaac Allen,39.0,1.86,74.5,M
Kimberly Simon,54.0,1.85,101.4,M
Joshua Martinez,69.0,1.66,115.8,F
Michael Williams,59.0,1.55,56.5,M
Rachel Moody,29.0,1.64,71.4,F
Tami Hughes,64.0,1.92,82.4,F
Matthew Cantu,66.0,1.99,84.9,M
Tracey Martinez,59.0,1.75,88.0,M
Michael Doyle,55.0,1.5,71.0,M
Theresa Monroe,35.0,1.57,96.7,M
Morgan King,62.0,1.66,95.2,M
Katie Kelly,52.0,1.79,90.4,M
Bonnie Goodman,47.0,1.54,58.0,M
Andrew Wang,41.0,1.97,83.4,F
Catherine Foster,59.0,1.68,74.9,F
Andrew Shaffer,47.0,1.96,84.4,M
Kristine Jennings,31.0,1.89,114.5,F
Kiara Phillips,23.0,1.88,83.6,F
Amy Cardenas,20.0,1.8,51.0,M
Donna Walker,33.0,1.81,80.7,F
Robert Kim,24.0,1.82,107.4,M
Joel Wallace,69.0,1.81,104.6,M
Patrick Rogers,31.0,1.78,85.9,F
Amy Davidson,26.0,1.99,67.5,M
James Rodriguez,32.0,1.87,82.6,M
Nicole Allen,38.0,1.89,89.5,M
Natalie Allen,52.0,1.94,120.0,F
Jamie Brown,19.0,1.61,95.1,F
Megan Sutton,44.0,1.54,98.6,M
Brittney Soto,19.0,1.74,84.4,M
Andrew Evans,52.0,1.76,74.8,F
Courtney Simon,35.0,1.91,106.9,F
Veronica Jackson,31.0,1.72,84.6,M
Jose Sharp,37.0,1.79,119.6,F
Joseph Rose,35.0,1.76,82.0,M
Michael Sawyer,27.0,1.52,54.8,F
Rose Wood,42.0,1.81,97.8,F
William Mcmahon,19.0,1.91,53.3,F
Aaron Holmes,42.0,1.58,67.5,F
Brandy Carrillo,50.0,1.8,74.8,M
Becky Oconnell,53.0,1.8,101.8,M
Justin Crawford,48.0,1.58,84.6,F
Charles Gutierrez,31.0,1.56,52.0,M
Joseph White,18.0,1.99,93.2,M
Carla Howell,63.0,1.7,78.8,F
Anthony Spears,33.0,1.61,114.5,F
Brooke Pratt,63.0,1.59,85.0,M
Tammy Hill,69.0,1.83,99.6,F
Richard Cummings,20.0,1.8,65.3,M
Tiffany Ray,52.0,1.82,103.3,F
Judith Cox,58.0,1.54,100.5,M
Scott Cervantes,23.0,1.95,113.3,F
Mia Maxwell,42.0,1.69,52.4,F
Heather Martin,30.0,1.66,81.3,M
Thomas Cordova,51.0,1.73,97.5,F
Stephanie Collins,25.0,1.7,56.7,M
Ms. Catherine Chung,38.0,1.93,78.7,M
Julia Moore,51.0,1.96,116.0,F
Ashley Hardin,21.0,1.65,80.5,F
David Santos,42.0,1.93,119.0,F
Anita Graves,32.0,1.89,54.0,F
Victoria Taylor,21.0,1.97,100.2,M
Christopher Jacobs,62.0,1.62,90.7,M
Benjamin Wilson,29.0,1.79,85.0,F
Brandon Taylor,49.0,1.64,118.0,M
Dr. Darryl Mora,49.0,1.91,59.1,F
Ricky Sanchez,45.0,1.5,112.7,M
Bonnie Becker,30.0,1.78,98.4,F
Charles Simon,48.0,1.67,68.1,F
Paul Walter,31.0,1.66,113.1,M
Bethany Kent,37.0,1.82,80.1,F
Amanda Beasley,35.0,1.93,107.0,M
Jessica Goodwin,46.0,1.8,77.2,F
Barbara Cox,23.0,1.93,109.6,M
Susan Jackson,49.0,1.63,94.6,M
Karen Vargas,46.0,1.76,59.9,M
Michelle Smith,60.0,1.73,95.5,M
Cynthia Hampton,19.0,1.51,63.4,F
Alicia Rodriguez,40.0,1.78,78.8,F
Jessica Cameron,36.0,1.83,61.9,F
Heidi Yang MD,48.0,1.8,51.5,M
Mrs. Sara Moody,68.0,1.87,64.8,F
David Cameron,22.0,1.79,87.5,F
Melissa Johnson,36.0,1.53,83.7,F
Dr. Sara Leon,51.0,1.56,85.1,F
Tina Deleon,27.0,1.8,67.3,M
Miguel Johnson,42.0,1.64,98.0,F
David Lee,19.0,1.54,99.3,F
Denise Jones,28.0,1.71,75.1,M
Jennifer Atkins,67.0,1.78,111.7,F
Kevin Knight,48.0,1.66,95.1,M
Dennis Hobbs,32.0,1.86,99.9,F
Wesley Phillips,26.0,1.82,69.4,M
Cameron Johnson,40.0,1.67,50.0,M
Andrew Schroeder,36.0,1.88,110.6,F
Michael Williams,26.0,1.82,107.6,F
Dr. Denise Livingston,52.0,1.82,58.6,F
Meghan Robles MD,38.0,1.78,76.2,F
Sara Martinez,26.0,1.51,96.3,F
Richard Hayes,45.0,1.85,95.6,F
Leah Johns,63.0,1.69,110.2,M
Ricardo Fleming,68.0,1.97,59.8,M
Stacey Barrett,24.0,1.91,80.1,M
Bridget Hernandez,33.0,1.79,56.8,M
Nina Butler,33.0,1.63,77.3,F
Courtney Ray,50.0,1.6,51.1,M
Andrew Pena,21.0,1.67,112.9,M
Stephanie Rogers,21.0,1.74,86.9,M
George Hester,56.0,1.65,109.5,F
Justin Cook,57.0,1.76,54.2,F
Courtney Williams,34.0,1.58,65.9,F
Erik Smith,54.0,1.99,68.2,M
Leslie Williams,56.0,1.55,77.1,F
Christina Vaughn,69.0,1.97,106.2,M
Brenda Short,46.0,1.96,77.1,M
Scott Evans,69.0,1.76,64.3,M
Eric Khan,53.0,1.86,54.5,F
Christina Phillips,55.0,1.72,55.6,F
Alexandra Cruz,56.0,1.82,103.2,F
Robert Sexton,67.0,1.67,81.1,M
Andrew Schmidt,54.0,1.65,100.8,F
Aaron Hernandez,69.0,1.79,97.8,F
Kelly Lambert,52.0,1.75,59.5,F
Mike Hill,24.0,1.79,60.0,M
Erin Brown,44.0,1.64,102.9,M
Adam Padilla,45.0,1.68,100.5,M
Christopher Ross,39.0,1.54,76.5,M
Teresa Marks,31.0,1.53,55.4,F
Eric Ibarra,24.0,1.63,50.8,F
Dalton Hood,54.0,1.54,70.2,M
Jacob Contreras,39.0,1.55,50.6,F
Rebekah Pacheco,22.0,1.91,66.1,M
Michael Meyer,19.0,1.52,79.4,F
Dustin Gordon,44.0,1.83,58.5,F
Steven Sherman,38.0,1.64,57.3,F
Sandra Valencia,55.0,1.94,112.8,M
Maria Martinez,32.0,1.74,91.0,F
Michelle Jones,38.0,1.65,115.4,F
Matthew Johnson,27.0,1.76,74.2,F
Adam Rivera,40.0,1.69,97.4,F
Danielle Smith,56.0,1.78,64.3,M
Natalie Robinson,22.0,1.56,93.3,M
Michelle Johnson,18.0,2.0,59.1,M
Johnathan Miller,30.0,1.71,50.1,F
Sheila Mathis,38.0,1.67,115.2,F
Melvin Anderson,43.0,1.86,88.8,F
Cameron Smith,67.0,1.68,114.9,M
Janice Smith,62.0,1.92,73.4,M
Sandra White,38.0,1.73,72.9,F
Cassandra Todd,35.0,1.86,78.0,M
Matthew Ramirez,54.0,1.55,99.4,M
Daniel Alvarez,62.0,1.92,89.6,F
Jill Sellers,49.0,1.87,114.8,M
Christy Morales,53.0,1.61,51.8,F
Michelle Sloan,34.0,1.57,99.6,M
Joseph Carr,52.0,1.66,73.1,M
Rachael Dunn,66.0,1.99,62.6,M
Joseph Cole,28.0,1.63,85.7,M
Elizabeth Ford,38.0,1.73,85.4,F
Richard Parker,69.0,1.52,59.6,F
David Perry,43.0,1.7,64.1,M
Chelsey Daugherty,21.0,1.79,78.6,F
Mallory Griffin,51.0,1.98,78.6,M
Linda Brown,69.0,1.76,72.2,F
Rita Pearson,65.0,1.91,60.4,M
Karen Terry,35.0,1.77,50.3,F
John Long,57.0,1.52,117.9,M
Dylan Reed,52.0,1.66,116.0,M
Kathy Ray,58.0,1.79,83.9,F
Kimberly Caldwell,46.0,1.98,119.7,M
Brandi Floyd,69.0,1.93,97.2,M
Jill Murphy,46.0,1.61,54.8,M
Nicole Carson,55.0,1.61,58.2,M
Joshua Austin,59.0,1.6,114.1,F
Benjamin Levine,38.0,1.96,94.1,F
Amanda Carey,59.0,1.93,109.0,M
Shane Jackson,30.0,1.89,112.9,M
Rachel Miller,66.0,1.7,81.4,F
James Mason,58.0,1.75,53.4,F
Christopher Ruiz,34.0,1.73,63.2,M
Jessica Mitchell,26.0,1.63,54.7,M
Walter Murray,58.0,1.75,63.2,F
Nancy Johnson,18.0,1.52,78.7,M
John Perry,19.0,1.57,58.3,F
Sandra Lee,65.0,1.94,61.7,F
Teresa Quinn,46.0,1.88,81.2,F
Anita Tucker,50.0,1.71,73.8,M
Jessica Alvarez,27.0,1.76,82.7,F
Juan Mcclain,67.0,1.68,80.0,F
Ann Mason,57.0,1.87,95.1,M
Cory Miller,38.0,1.89,115.6,F
Felicia Jackson,45.0,1.88,57.6,F
Corey Dunn,28.0,1.86,56.9,F
Richard Pierce,51.0,1.6,109.7,F
Clayton Bradford,25.0,1.67,85.4,F
Holly Olson,39.0,1.73,103.6,F
Mark Mason,25.0,1.67,65.1,M
Bethany Smith,66.0,1.88,108.0,M
Joseph Rodgers,32.0,1.66,114.7,M
Crystal Howard,34.0,1.57,94.5,F
Andrew Hill,40.0,1.7,57.4,F
Kelly Short,41.0,1.99,112.7,F
Jamie Luna,62.0,1.61,105.5,M
Yolanda Foley,36.0,1.81,102.6,M
Troy Hanson,22.0,1.72,52.6,F
Lauren Rogers,49.0,1.54,105.9,M
Hannah Leblanc,61.0,1.74,59.7,M
Ray Craig,18.0,1.85,65.6,F
Sharon Vaughan,40.0,1.76,90.4,M
Dakota Cooke,54.0,1.94,68.5,M
Kathryn Brown,25.0,1.64,96.3,M
Mary May,30.0,1.54,92.6,M
Anthony Hoffman,25.0,1.97,57.6,F
Rhonda Martinez,40.0,1.69,95.9,F
Tyler Pruitt,60.0,1.79,114.7,M
Louis Mayer,18.0,1.9,61.3,M
Daniel Duarte,62.0,1.66,91.8,M
Dennis Harding,68.0,1.86,73.9,M
Shaun Clements,41.0,1.57,82.2,F
Emily Leon,52.0,1.65,70.1,F
Jacob Watts,41.0,1.57,74.8,M
Michele Miller,34.0,1.91,52.0,M
Kirk Wilkins,22.0,1.61,118.7,M
Angela Lloyd,37.0,1.86,93.7,M
Michelle Smith,38.0,1.97,85.0,F
Steven Dickerson,57.0,1.76,76.9,M
Jason Mcneil,48.0,1.77,87.8,M
Melissa Ramirez,63.0,1.73,76.6,F
Tracy Estes,53.0,1.66,75.2,M
Jessica Guerrero,28.0,1.74,82.5,F
Veronica Browning,69.0,1.8,69.3,F
Angela Johnson,32.0,1.99,62.6,M
Charles Hill,36.0,1.97,89.0,F
Michael Wade,24.0,1.93,109.0,M
Victoria King,68.0,1.94,60.7,M
David Montes,45.0,1.73,52.3,F
Douglas Spencer,68.0,1.83,67.3,F
Sara Lee,60.0,1.95,118.6,F
Bradley Gonzales,22.0,1.7,108.0,M
Caitlin Walters MD,22.0,1.98,91.7,M
Steven Cox,47.0,1.71,115.0,M
Matthew Holmes,49.0,1.8,81.2,M
Jasmine Gamble,25.0,1.85,118.8,M
Emily Chang,27.0,1.98,70.7,F
Michelle Cruz,55.0,1.62,66.8,F
Ashley Gillespie,64.0,1.87,94.7,F
Teresa Ray,49.0,1.76,76.5,M
Tammy Hester,65.0,1.63,93.8,M
Arthur Yang,45.0,1.89,71.3,M
Alisha Giles,34.0,1.78,93.3,M
Allison Acosta,48.0,1.83,69.3,M
Cynthia English,25.0,1.66,53.6,F
Amy Taylor,57.0,1.74,113.8,M
Shelly Wilson,42.0,1.81,111.8,F
David Ellis,26.0,1.7,118.0,M
Marissa Lewis,19.0,1.6,100.2,F
Kevin Adams,32.0,1.98,97.8,M
Ronald Ford,67.0,1.76,89.1,M
Ashley Kelley,20.0,1.87,58.8,F
James Moore,66.0,1.71,63.2,M
Jose Ferguson,53.0,1.68,70.3,M
Jesse Montoya,21.0,1.7,112.3,M
Lauren Davis,31.0,1.7,62.1,F
Destiny Lynch,58.0,1.77,114.6,F
Christopher Frazier,58.0,1.77,86.6,M
Dennis Miller,42.0,1.75,100.1,F
Cynthia Cox,67.0,1.57,57.7,F
Kevin Hawkins,27.0,1.75,68.8,F
Scott Bartlett,38.0,1.58,117.1,F
Elizabeth Sanders,53.0,1.56,68.6,F
Tabitha Hughes,29.0,1.97,70.8,M
Christine Lopez,44.0,1.8,63.8,M
Austin Gonzalez,57.0,1.83,59.0,M
Chris Stewart,19.0,1.7,66.3,F
Jared Johnson,30.0,1.95,95.0,F
Linda Green,49.0,1.82,81.9,F
Jeffrey Wu,48.0,1.88,88.8,M
Tammy Wright,33.0,1.68,58.6,M
Diana Murphy,49.0,1.98,106.1,M
Courtney Pena,49.0,1.91,104.9,M
Katherine Patrick,51.0,1.93,51.5,M
Jake Patterson,28.0,1.59,76.8,M
Elizabeth Rodriguez,27.0,1.64,54.8,M
Richard Vargas DDS,32.0,1.64,105.4,M
David Jones,34.0,1.64,101.6,F
Whitney Rocha,57.0,1.93,113.1,F
Ashley Mendoza,35.0,1.52,66.5,F
Laurie Burns,26.0,1.54,81.9,M
Jennifer Trevino,42.0,1.64,62.9,M
Amber Jones,57.0,1.6,76.0,M
Natalie Jackson,31.0,1.62,86.6,F
Paul Fitzgerald,42.0,1.9,53.7,M
April Owen,67.0,1.78,100.0,F
Christopher Gilbert,39.0,1.5,88.0,F
Angela Walter,69.0,1.71,108.0,M
Kevin Rodgers,47.0,1.7,69.0,F
Aaron Brown,37.0,1.56,113.2,M
Melissa Gomez,38.0,1.84,119.9,F
Mr. Peter Gonzalez,61.0,1.85,114.4,M
Wesley Mahoney,49.0,1.86,104.5,M
Amanda Padilla,68.0,1.86,106.9,M
Jaime Fowler,63.0,1.5,90.2,F
Julie Reyes,66.0,1.98,63.3,M
Susan Dean,38.0,1.91,97.4,M
Carl Martinez,52.0,1.95,99.9,M
Christine Nelson,49.0,1.51,119.0,M
Alexis York,47.0,1.97,87.9,M
Ryan Young,56.0,1.9,69.0,F
Brian Graham,66.0,1.92,97.9,F
Dennis Schroeder,29.0,1.55,118.6,F
William Wang,58.0,1.87,62.4,M
Mr. Ronnie Huynh,64.0,1.98,72.8,M
Matthew Brady,35.0,1.84,87.9,M
James Ortega,38.0,1.79,61.9,F
William Rose,30.0,1.97,51.6,F
Melissa Brady,38.0,1.72,73.6,M
Jason Wilson,25.0,1.8,110.6,F
Mr. Daniel Hess MD,63.0,1.74,53.0,F
Michelle Miller,57.0,1.97,80.0,M
Robert Pineda,63.0,1.54,103.4,F
Chris Frey,24.0,1.75,116.7,M
Heather Vasquez,40.0,1.84,119.0,F
Katherine Bright,61.0,1.9,79.5,F
John Page,49.0,1.79,116.5,F
Jennifer Burns,28.0,1.95,52.5,M
Mary Robinson,39.0,1.97,102.2,F
Charles Robinson,39.0,1.53,95.0,M
Julia Manning,60.0,1.7,67.5,F
Paige Wade,42.0,1.51,85.5,M
Elizabeth Bennett,39.0,1.66,59.1,M
Todd Frank,45.0,1.77,111.0,M
Teresa Velez,46.0,1.96,75.1,F
Marilyn Lane,30.0,1.92,93.8,M
Sharon Thompson,35.0,1.56,61.1,F
Michael Reynolds,19.0,1.55,64.4,M
Wanda Dalton,46.0,1.79,119.4,M
Whitney Johnson,38.0,1.77,102.7,M
Kelly Johnson,32.0,1.63,117.3,M
Mr. Joe Saunders,69.0,1.95,70.7,F
David Valdez,44.0,1.96,61.5,F
David Johnson,67.0,1.7,85.2,M
Jamie Strong,48.0,1.95,84.6,F
Dr. Timothy Lopez,32.0,1.69,62.2,F
Robert Fowler,68.0,1.87,101.3,M
Jill Smith,40.0,1.74,75.3,F
Regina Daniels,41.0,1.56,63.0,F
Michael Bates,61.0,1.96,73.2,M
Sarah Hudson,30.0,1.73,89.5,F
Samantha Fowler,39.0,1.87,100.9,M
Paul Ritter,60.0,1.68,83.7,F
Richard Griffin,54.0,1.51,86.8,M
Marisa Kelly,50.0,1.55,59.7,F
Stephanie Dunn,20.0,1.75,114.0,F
Michael Murray,36.0,1.84,115.0,F
Carlos Smith,40.0,1.67,97.8,F
Angela King,46.0,1.85,51.2,F
Kayla Vargas PhD,47.0,1.85,87.6,M
Aaron Gonzales,56.0,1.85,94.0,F
Ana Martin,61.0,1.75,119.6,M
Michael Roberts,64.0,1.96,119.7,M
Cole Mccoy,42.0,1.74,110.0,F
Angela Osborn,54.0,1.73,54.5,M
Sherry Dorsey,64.0,1.6,116.7,F
Lauren Landry,25.0,1.65,92.9,F
Kevin Russo,59.0,1.52,106.1,F
Cindy Carr,33.0,1.82,78.5,F
Matthew Williams,25.0,1.62,72.4,M
Sharon Stephens,18.0,1.65,82.4,F
Jennifer Burgess,61.0,1.89,60.3,F
Elizabeth Hall,22.0,1.66,75.0,F
Kevin Mosley,20.0,1.62,110.0,M
Brandon Kim,18.0,1.58,52.7,M
Mary Buckley,21.0,1.89,60.6,M
Mackenzie Brown,57.0,1.56,58.8,M
Melissa Soto,52.0,1.73,78.2,F
Amanda Pennington,49.0,1.75,119.8,M
Patrick Ward,59.0,1.84,62.1,M
Anthony Perez,51.0,1.82,60.2,M
Nicholas Phillips,60.0,1.91,114.1,M
Kara Ramos,42.0,1.52,111.7,F
Jonathan Lopez,27.0,1.65,52.3,F
Scott Howard,38.0,1.64,102.6,M
Jennifer Hart,63.0,1.57,95.9,M
Carlos Mayer,56.0,1.64,103.7,F
Misty Roberts,44.0,1.65,84.6,F
Julie Vazquez MD,44.0,1.76,119.4,F
Philip Casey,19.0,1.83,53.1,F
Gerald Smith,58.0,1.69,66.4,M
Michael Bryant,65.0,1.86,77.8,M
Jasmine Miller,30.0,1.67,81.5,F
Jennifer Smith,26.0,1.65,114.5,M
James Noble,69.0,1.77,89.2,M
Megan Lowery,53.0,1.51,53.2,M
Jerry Mccoy,39.0,1.54,78.6,F
Sarah Mitchell,59.0,1.71,79.2,F
William Wilson,43.0,1.97,117.6,F
Jeremy Meyer,29.0,1.86,91.9,F
Christopher Peterson,34.0,1.54,94.5,M
Heidi Lee,31.0,1.92,99.9,F
Linda Hernandez,31.0,1.87,103.9,F
Lisa Fleming,51.0,1.81,94.5,M
Lauren Webb,37.0,1.91,66.6,F
Alexis Williams MD,28.0,1.7,111.2,M
Nicholas Wilson,33.0,1.61,101.2,F
Carol Brown,68.0,1.76,101.9,M
Lisa French,48.0,1.77,119.8,M
Kimberly Reid,23.0,1.77,106.2,M
Deborah Dawson,36.0,1.78,108.0,M
Jose Gentry,54.0,1.97,116.6,F
Dr. Cassandra Carter,21.0,1.95,60.6,M
Jacqueline Davis,64.0,1.94,84.8,M
Jonathon Edwards,21.0,1.9,90.6,F
Cody Fuentes,37.0,1.97,73.0,M
Tonya Brewer,27.0,1.55,108.8,M
Lisa Brooks,41.0,1.63,103.4,F
Haley Parker,52.0,1.75,100.5,F
Carol Yang,43.0,1.92,119.8,F
Shawn Morse,54.0,1.75,68.2,M
Keith Smith,55.0,1.87,101.5,M
Joseph Robbins,38.0,1.57,88.6,F
David Mueller,57.0,1.63,71.9,F
Kevin Russell,56.0,1.87,61.2,F
Tara Stone,38.0,1.58,112.7,M
Susan Smith,27.0,1.68,91.7,M
Kathryn Johnson,55.0,1.63,107.7,F
Brandon Sanchez,63.0,1.67,88.2,M
Amanda Morales,21.0,1.85,65.4,M
Tracy Ellis,62.0,1.68,73.6,M
Seth Miller,37.0,1.78,76.7,F
Crystal Richards,34.0,1.55,118.1,F
Jean Tate,24.0,1.9,50.4,M
